ACheeseForAMouse;I have no doubt that my brother left this cheese here, always like that!
AKeyToTheCabinet;Llave de la habitación del estudio
AKitchenKey;Llave de cocina
APartOfAHammer;¿El palo o el mango del martillo?
APartOfScissors;La mitad de las tijeras
AStickForTheRoof;Me ayudará a entrar al ático
Bathroom;¡Claro, me lavo en el baño por la tarde!
BatteriesForTheController;Algo útil aquí
Continue;Continuar
DontRemind;Nunca
Exit;Salida
Figure;Ese es mi bloque de unidad!
GottaCrashThisIce;Saca esta llave del hielo
GottaDisassembleIt;¡Juguemos y desmontar esto!
GottaTightenTheCrane;¿Debería rotarlos? ¡Creo que sí!
Hmm;Hmm…
ICanExtinguish;Esto es un cubo de agua, ¡útil!
ICountSoBad;Eso es interesante...
IGottaPutOut;Tengo que apagar este fuego
IHaveToTurnItOn;Quiero ver dibujos animados
InventoryIsFull;Mi inventario está lleno
ISeeTheToilet;Hay dos puertas, debería recordarlo
ItCanBeOpen;Puede ser abierto
ItIsEmpty;No es interesante…
ItIsSoHighInHere;Aquí tan alto, guau
ItIsWarmInHere;Hace mucho calor aquí
Kitchen;Cocina, aquí está. ¡Mi lugar favorito!
Loading;Cargando...
LowerFloor;Planta baja
MyBeautifulRoom;Mi hermosa habitación!
MyBrothersSkate;El patín de mi hermano
MyToy;¡Me encanta mi clasificador de formas!
NeedAKey;Necesita una clave para este bloqueo
No;No
OK;OK
OneMoreBathroom;Ese es nuestro baño de visitas
OneMorePartOfAHammer;Parte metálica del martillo
ParentsBedroom;El dormitorio de mamá y papá
RateUs;Si te gustó el juego, calificanos por 5 estrellas. ¡Gracias!
RewardText;¿Le gustaría obtener una pista, viendo un video interesante?
RewardWaitText;El video aún no está cargado, intente más tarde y verifique su conexión a Internet
SomethingTasty;¡Algo sabroso!
TheBucketIsEmpty;El cubo está vacío
TheClockShowsTheWrongTime;Este reloj muestra el momento equivocado
TheDollWasCollected;¡Mi muñeca fue coleccionada!
TheDoorsMayBeOpen;¡Debería abrir esta puerta!
ThereIsALot;Hay muchas cosas ...
ThereIsNothingHere;¡Cepillarse los dientes dos veces al día!
ThereIsSomethingHidden;Bonitas almohadas)
ThereIsSomethingInTheTank;Válvulas interesantes allá arriba
TheseFigures;Vamos a poner bloques de unidades!
ThisMouse;Mi amado ratón me ayudará
TiltThePhone;Inclina el teléfono
WhatIsInHere;¿Qué es eso?
WhenMyBrother;Cuando mi hermano regresó de la escuela, se sorprendió
Yahoo;Yahoo, estoy fuera!
Yes;Sí
