ACheeseForAMouse;毫无疑问，我的妹妹在这里离开了这个奶酪。
AKeyToTheCabinet;父亲的房间钥匙
AKitchenKey;在厨房里的钥匙
APartOfAHammer;锤柄？
APartOfScissors;一半的剪刀
AStickForTheRoof;它会帮助我。
Bathroom;当然，那是我的浴缸。
BatteriesForTheController;有用的是在这里。
Continue;继续
DontRemind;从来没有
Exit;出口
Figure;这是我的单位块！
GottaCrashThisIce;把这个钥匙从冰里拿出来。
GottaDisassembleIt;让我们玩它，并拆卸它！
GottaTightenTheCrane;我应该旋转它吗？听起来没错！
Hmm;呃...
ICanExtinguish;这是一个有用的桶！
ICountSoBad;这很有趣...
IGottaPutOut;我必须关掉这场火灾。
IHaveToTurnItOn;我想看漫画。
InventoryIsFull;没有地方！
ISeeTheToilet;有两扇门，我必须记住它。
ItCanBeOpen;可以打开。
ItIsEmpty;这不是有趣的...
ItIsSoHighInHere;这里太高了。
ItIsWarmInHere;这里非常温暖。
Kitchen;厨房，在这里。我最喜欢的地方！
Loading;载入中...
LowerFloor;一楼
MyBeautifulRoom;我美丽的房间！
MyBrothersSkate;我的兄弟滑冰
MyToy;我喜欢形状分类器！
NeedAKey;我必须打开这个奇怪的东西。
No;没有
OK;承认
OneMoreBathroom;这是我们的客人的浴室。
OneMorePartOfAHammer;锤子的金属部分
ParentsBedroom;妈妈和爸爸的卧室
RateUs;如果你喜欢这个游戏，请评价5颗星。谢谢！
RewardText;你想从一个有趣的视频得到一些提示吗？
RewardWaitText;该视频尚未加载，请稍后再试，并检查您的互联网连接。
SomethingTasty;超值服务！
TheBucketIsEmpty;桶是空的。
TheClockShowsTheWrongTime;这只表显示错误的时间。
TheDollWasCollected;我的玩偶组装好了！
TheDoorsMayBeOpen;我必须打开这扇门！
ThereIsALot;有很多事情...
ThereIsNothingHere;每天清洁你的牙齿两次！
ThereIsSomethingHidden;"凉爽的枕头;）"
ThereIsSomethingInTheTank;有一些有趣的阀门。
TheseFigures;让我们把它！
ThisMouse;我心爱的老鼠会帮助我的。
TiltThePhone;倾斜手机
WhatIsInHere;这是什么？
WhenMyBrother;当他的弟弟从学校回来时，他感到惊讶。
Yahoo;雅虎，我在这里！
Yes;例子
