ACheeseForAMouse;내 동생이이 치즈를 여기에두고 왔음을 의심 할 여지가 없다.
AKeyToTheCabinet;아버지의 방 열쇠
AKitchenKey;부엌에서 키
APartOfAHammer;해머 핸들?
APartOfScissors;가위의 절반
AStickForTheRoof;그것은 나를 도울 것입니다.
Bathroom;물론, 그게 내 욕조 야.
BatteriesForTheController;뭔가 유용한 정보가 여기에 있습니다.
Continue;계속하다
DontRemind;절대로
Exit;출구
Figure;그건 내 단위 블록이야!
GottaCrashThisIce;이 열쇠를 얼음에서 꺼내.
GottaDisassembleIt;그것을 연주하고 분해합시다!
GottaTightenTheCrane;회전시켜야합니까? 맞는 것 같아요!
Hmm;흠 ...
ICanExtinguish;이것은 유용한 양동이입니다!
ICountSoBad;그 흥미 롭군요...
IGottaPutOut;나는이 불을 꺼야한다.
IHaveToTurnItOn;나는 만화를보고 싶다.
InventoryIsFull;장소가 없다!
ISeeTheToilet;두 개의 문이 있는데, 나는 그것을 기억해야한다.
ItCanBeOpen;열 수 있습니다.
ItIsEmpty;흥미롭지 않습니다 ...
ItIsSoHighInHere;여기는 너무나 높고 와우
ItIsWarmInHere;여기가 아주 따뜻해.
Kitchen;주방, 여기 있네. 내가 가장 좋아하는 장소!
Loading;로드 중 ...
LowerFloor;1 층
MyBeautifulRoom;내 아름다운 방!
MyBrothersSkate;내 동생 스케이트
MyToy;나는 모양 분류기를 좋아한다!
NeedAKey;이 이상한 것을 열어 봐야 해.
No;아니
OK;승인
OneMoreBathroom;그건 우리 손님 용 욕실이야.
OneMorePartOfAHammer;망치의 금속 부분
ParentsBedroom;엄마와 아빠의 침실
RateUs;게임이 마음에 들면 별 5 개를 평가 해주세요. 고맙습니다!
RewardText;흥미로운 비디오를 보면서 힌트를 얻으시겠습니까?
RewardWaitText;동영상이 아직로드되지 않았으므로 나중에 시도하고 인터넷 연결을 확인하십시오.
SomethingTasty;맛있는 것!
TheBucketIsEmpty;버킷이 비어 있습니다.
TheClockShowsTheWrongTime;이 시계는 잘못된 시간을 보여줍니다.
TheDollWasCollected;내 인형이 조립되었습니다!
TheDoorsMayBeOpen;나는이 문을 열어야한다!
ThereIsALot;많은 것들이 있습니다 ...
ThereIsNothingHere;하루에 두 번 치아를 청소하십시오!
ThereIsSomethingHidden;"멋진 베개;)"
ThereIsSomethingInTheTank;거기 흥미로운 밸브들.
TheseFigures;그것을 넣자!
ThisMouse;내 사랑하는 마우스가 나를 도울 것입니다.
TiltThePhone;전화를 기울이십시오.
WhatIsInHere;그게 뭐야?
WhenMyBrother;형이 학교에서 돌아 왔을 때, 그는 놀랐다.
Yahoo;야후, 나 왔어!
Yes;예
