ACheeseForAMouse;Nepochybuji, že můj bratr tuhle sýr opustil, vždycky takhle!
AKeyToTheCabinet;Klíč z otcovy místnosti
AKitchenKey;Kuchyňské klíče
APartOfAHammer;Rukojeť kladiva!
APartOfScissors;Polovina nožnic
AStickForTheRoof;Mě mi to pomůže
Bathroom;Jistě rád se umýt!
BatteriesForTheController;Něco užitečného
Continue;Pokračovat
DontRemind;Vůbec nikdy
Exit;Výstup
Figure;To je můj jednotkový blok!
GottaCrashThisIce;Vyjměte tento klíč z kostky ledu
GottaDisassembleIt;
GottaTightenTheCrane;
Hmm;Hmm ...
ICanExtinguish;Jedná se o kbelík s vodou, užitečné!
ICountSoBad;To je zajímavé...
IGottaPutOut;Musím vypálit tento oheň
IHaveToTurnItOn;Chci sledovat kreslený film
InventoryIsFull;Žádné místo!
ISeeTheToilet;Jsou dvě dveře, měl bych si to vzpomenout
ItCanBeOpen;Může být otevřen
ItIsEmpty;Nezajímavé…
ItIsSoHighInHere;Tady je tak vysoká, wow
ItIsWarmInHere;Je zde velmi teplé
Kitchen;Kuchyně, tady je. Moje oblibene misto!
Loading;Načítání...
LowerFloor;První patro
MyBeautifulRoom;Můj krásný pokoj!
MyBrothersSkate;
MyToy;Miluju můj tvar sorter hračku!
NeedAKey;Potřebuji otevřít tuto podivnou věc
No;Ne
OK;OK
OneMoreBathroom;Pěkná koupelna pro hosty
OneMorePartOfAHammer;Kovová část kladiva
ParentsBedroom;Maminka a otecova ložnice
RateUs;Pokud se vám hra líbí, ohodnoťte nás za 5 hvězdiček. Děkuji!
RewardText;Chtěl byste dostat nápovědu sledováním zajímavého videa?
RewardWaitText;Video zatím není načteno, vyzkoušejte později a zkontrolujte připojení k internetu
SomethingTasty;Něco chutné!
TheBucketIsEmpty;Kbelík je prázdný
TheClockShowsTheWrongTime;Tyto hodiny zobrazují nesprávný čas
TheDollWasCollected;Moje panenka byla sestavena!
TheDoorsMayBeOpen;Měla bych otevřít tyto dveře!
ThereIsALot;Je spousta věcí ...
ThereIsNothingHere;Vyčistěte zuby dvakrát denně!
ThereIsSomethingHidden;"Pěkné polštáře;)"
ThereIsSomethingInTheTank;Zajímavé ventily nahoru
TheseFigures;
ThisMouse;Moje milovaná myš mi pomůže
TiltThePhone;Naklopte telefon
WhatIsInHere;Co to je?
WhenMyBrother;Když se můj bratr vrátil ze školy, byl překvapen
Yahoo;Jsem tady!
Yes;Ano
