ACheeseForAMouse;Kardeşimin bu peyniri burada terk ettiğinden hiç şüphem yok, hep öyle!
AKeyToTheCabinet;Babanın odasındaki anahtar
AKitchenKey;Mutfak anahtarı
APartOfAHammer;Çekiç sapı
APartOfScissors;Makasın yarısı
AStickForTheRoof;Bana yardım etmeli
Bathroom;Tabii ki kendimi yıkamayı çok seviyorum!
BatteriesForTheController;Burada yararlı bir şey
Continue;Devam etmek
DontRemind;Hiç bir zaman hiç
Exit;Çıkış
Figure;Bu benim birim bloğum!
GottaCrashThisIce;Bu anahtarı buz küpten çıkar
GottaDisassembleIt;Oynayalım ve çözelim!
GottaTightenTheCrane;Onları döndürmem gerekir mi? Bence evet!
Hmm;Hmm ...
ICanExtinguish;Bu bir kova su, yararlı!
ICountSoBad;İlginç...
IGottaPutOut;Bu ateşi söndürmeliyim
IHaveToTurnItOn;Karikatür izlemek istiyorum
InventoryIsFull;Yer yok!
ISeeTheToilet;İki kapı var, hatırlamalıyım
ItCanBeOpen;Açılabilir
ItIsEmpty;İlgi çekici değil…
ItIsSoHighInHere;İşte bu kadar yüksek vay vay
ItIsWarmInHere;Burası çok sıcak
Kitchen;Mutfak, işte geldi. En sevdiğim yerim!
Loading;Yükleniyor...
LowerFloor;Birinci kat
MyBeautifulRoom;Güzel odam!
MyBrothersSkate;Bu bizim kaykanım
MyToy;Şekli sıralayıcı oyuncağı seviyorum!
NeedAKey;Bu tuhaf şeyi açmam lazım
No;Yok hayır
OK;tamam
OneMoreBathroom;Misafirler için güzel banyo
OneMorePartOfAHammer;Çekiç metal parçası
ParentsBedroom;Anne ve babamın yatak odası
RateUs;Oyunu beğendiyseniz, lütfen 5 yıldız için bize oy verin. Teşekkür ederim!
RewardText;İlginç bir video izleyerek bir ipucu ister misiniz?
RewardWaitText;Video henüz yüklenmedi, daha sonra tekrar deneyin ve İnternet bağlantınızı kontrol edin
SomethingTasty;Lezzetli birşeyler!
TheBucketIsEmpty;Kova boş
TheClockShowsTheWrongTime;Bu saat yanlış zamanı gösteriyor
TheDollWasCollected;Oyuncak bebeğim toplandı!
TheDoorsMayBeOpen;Bu kapıyı açmalıyım!
ThereIsALot;Bir sürü şey var ...
ThereIsNothingHere;Dişlerini günde iki kez temizleyin!
ThereIsSomethingHidden;"Güzel yastıklar;)"
ThereIsSomethingInTheTank;İlginç valfler orada
TheseFigures;Koyalım!
ThisMouse;Sevgili farem bana yardım edecek
TiltThePhone;Telefonu yatır
WhatIsInHere;Bu nedir?
WhenMyBrother;Kardeşim okuldan döndüğünde şaşırmıştı.
Yahoo;Yupee, burdayım!
Yes;Evet
