ACheeseForAMouse;Не сомневаюсь, что этот кусок сыра оставил тут мой братишка, вот так всегда!
AKeyToTheCabinet;Ключ от папиной комнаты
AKitchenKey;Ключ от кухни
APartOfAHammer;Просто палка или ручка от молотка?
APartOfScissors;Половинка ножниц
AStickForTheRoof;Это поможет мне пробраться выше
Bathroom;Конечно, буду тут сегодня вечером купаться!
BatteriesForTheController;Так, тут кое что полезное
Continue;Продолжить
DontRemind;Никогда
Exit;Выход
Figure;Это мой кубик!
GottaCrashThisIce;Надо вытащить ключик из кубика льда
GottaDisassembleIt;Давай-ка сыграем и разберём эту пирамидку!
GottaTightenTheCrane;Нужно ли их вращать? Думаю да…
Hmm;Хм…
ICanExtinguish;Это ведро с водой, будет кстати!
ICountSoBad;Надо посчитать…
IGottaPutOut;Нужно потушить огонь
IHaveToTurnItOn;Хочу посмотреть мультик
InventoryIsFull;Нет места в инвентаре
ISeeTheToilet;Так, тут две двери, надо запомнить
ItCanBeOpen;Надо открыть
ItIsEmpty;Ничего интересно…
ItIsSoHighInHere;Ого, тут так высоко!
ItIsWarmInHere;Тут довольно тепло
Kitchen;Вот она - моя кухня! Обожаю её, там вон и чипсики на столе лежат
Loading;Загрузка…
LowerFloor;Первый этаж
MyBeautifulRoom;Это моя красивая комната!
MyBrothersSkate;Скейт моего братика
MyToy;Я люблю эту игрушку-сортер!
NeedAKey;Так мне нужен ключ для этой штуки…
No;Нет
OK;ОК
OneMoreBathroom;Это наша гостевая ванная комната
OneMorePartOfAHammer;Металическая штука от молотка
ParentsBedroom;Спальня мамы и папы
RateUs;Если вам понравилась эта чудесная игра, пожалуйста оцените её на 5 звёзд. Спасибо!
RewardText;Хотите получить подсказку, просмотрев интересное видео?
RewardWaitText;Видео ещё не загружено, попробуйте чуть позже и проверьте соединение с интернетом
SomethingTasty;Это что-то вкусненькое!
TheBucketIsEmpty;Корзина пуста
TheClockShowsTheWrongTime;Часы показывают неправильно
TheDollWasCollected;Моя кукла была собрана!
TheDoorsMayBeOpen;Эту дверь нужно открыть, и никак иначе!
ThereIsALot;Тут много всего…
ThereIsNothingHere;Чистите зубки, дважды в день!
ThereIsSomethingHidden;Классные подухи)
ThereIsSomethingInTheTank;Забавные крутилки тут…
TheseFigures;Вставлю-ка я сюда свои ф   игурки!
