ACheeseForAMouse;من شکی ندارم که برادر من این پنیر را ترک کرد، همیشه مثل این است!
AKeyToTheCabinet;کلید از اتاق پدر
AKitchenKey;کلید آشپزخانه
APartOfAHammer;
APartOfScissors;نیمی از قیچی
AStickForTheRoof;این باید به من کمک کند
Bathroom;مطمئنا من عاشق خودم شستن
BatteriesForTheController;چیزی اینجا مفید است
Continue;ادامه
DontRemind;هرگز
Exit;خروج
Figure;
GottaCrashThisIce;این کلید را از مکعب یخ دریافت کنید
GottaDisassembleIt;
GottaTightenTheCrane;آیا من باید آنها را چرخانم؟ فکر می کنم بله!
Hmm;هوم ...
ICanExtinguish;این یک سطل آب است، مفید است!
ICountSoBad;جالبه...
IGottaPutOut;من باید این آتش بسازم
IHaveToTurnItOn;من می خواهم کارتون را تماشا کنم
InventoryIsFull;هیچ جایی ندارم
ISeeTheToilet;دو درب وجود دارد، من باید آن را به یاد داشته باشید
ItCanBeOpen;می توان آن را باز کرد
ItIsEmpty;جالب نیست…
ItIsSoHighInHere;در اینجا خیلی زیاد است
ItIsWarmInHere;اینجا بسیار گرم است
Kitchen;آشپزخانه، در اینجا است. مکان مورد علاقه من!
Loading;بارگذاری...
LowerFloor;طبقه اول
MyBeautifulRoom;اتاق زیبا من!
MyBrothersSkate;این اسکیت است
MyToy;من عاشق اسباب بازی شکل خودم هستم!
NeedAKey;من باید این چیز عجیب را باز کنم
No;نه
OK;خوب
OneMoreBathroom;حمام خوب برای مهمانان
OneMorePartOfAHammer;بخش فلزی چکش
ParentsBedroom;اتاق خواب مامان و پدر
RateUs;اگر بازی را دوست داشتید، لطفا 5 ستاره را ارزیابی کنید. متشکرم!
RewardText;آیا می خواهید یک سرنخ را با تماشای ویدیو جالب دریافت کنید؟
RewardWaitText;ویدیو بارگیری نشده است، بعدا امتحان کنید و اتصال اینترنت خود را بررسی کنید
SomethingTasty;چیزی خوشمزه است
TheBucketIsEmpty;
TheClockShowsTheWrongTime;این ساعت زمان اشتباه را نشان می دهد
TheDollWasCollected;عروسک من جمع شده بود!
TheDoorsMayBeOpen;من باید این درب را باز کنم
ThereIsALot;چیزهای زیادی وجود دارد ...
ThereIsNothingHere;دندان هایتان را دو بار در روز تمیز کنید!
ThereIsSomethingHidden;بالش های خوب؛)
ThereIsSomethingInTheTank;دریچه های جالب در آنجا وجود دارد
TheseFigures;بیایید در آن بازی کنیم!
ThisMouse;موش عزیزم به من کمک خواهد کرد
TiltThePhone;گوشی را تکان دهید
WhatIsInHere;این چیست؟
WhenMyBrother;وقتی برادر من از مدرسه برگشت، شگفت زده شد
Yahoo;من اینجا هستم!
Yes;بله
