ACheeseForAMouse;Jeg har ingen tvivl om, at min bror forlod denne ost her, altid sådan!
AKeyToTheCabinet;Nøgle fra fars værelse
AKitchenKey;Køkkennøgle
APartOfAHammer;
APartOfScissors;Halvdelen af ​​sakse
AStickForTheRoof;Det skal hjælpe mig
Bathroom;Sikker på, jeg elsker at vaske mig selv!
BatteriesForTheController;Noget nyttigt her
Continue;At fortsætte
DontRemind;Aldrig nogensinde
Exit;Afslut
Figure;Det er min enhed blok!
GottaCrashThisIce;Få denne nøgle ud af isterningen
GottaDisassembleIt;Lad os spille og demontere det!
GottaTightenTheCrane;Skal jeg rotere dem? Jeg tænker ja!
Hmm;Hmm ...
ICanExtinguish;Dette er en spand vand, nyttigt!
ICountSoBad;Det er interessant...
IGottaPutOut;Jeg er nødt til at udstyre denne ild
IHaveToTurnItOn;Jeg vil se tegneserie
InventoryIsFull;Intet sted!
ISeeTheToilet;Der er to døre, jeg skal huske det
ItCanBeOpen;Det kan åbnes
ItIsEmpty;Ikke interessant…
ItIsSoHighInHere;Her er så høj, wow
ItIsWarmInHere;Det er meget varmt her
Kitchen;Køkken, her er det. Mit foretrukne sted!
Loading;Indlæser...
LowerFloor;Første sal
MyBeautifulRoom;Mit smukke værelse!
MyBrothersSkate;
MyToy;Jeg elsker min form sorter legetøj!
NeedAKey;Jeg skal åbne denne underlige ting
No;Ingen
OK;Okay
OneMoreBathroom;Rart badeværelse til gæster
OneMorePartOfAHammer;Metal del af hammeren
ParentsBedroom;Mor og farens soveværelse
RateUs;Hvis du kunne lide spillet, bedes du bedømme os for 5 stjerner. Tak skal du have!
RewardText;Vil du gerne få en clue, ved at se interessant video?
RewardWaitText;Videoen er ikke indlæst endnu, prøv senere og tjek din internetforbindelse
SomethingTasty;Noget velsmagende!
TheBucketIsEmpty;Skovlen er tom
TheClockShowsTheWrongTime;Dette ur viser den forkerte tid
TheDollWasCollected;Min dukke blev samlet!
TheDoorsMayBeOpen;Jeg skal åbne denne dør!
ThereIsALot;Der er mange ting ...
ThereIsNothingHere;Rens dine tænder to gange om dagen!
ThereIsSomethingHidden;"Nice puder;)"
ThereIsSomethingInTheTank;Interessante ventiler op derinde
TheseFigures;Lad os spille i det!
ThisMouse;Min elskede mus vil hjælpe mig
TiltThePhone;Vippe telefonen
WhatIsInHere;Hvad er det?
WhenMyBrother;Da min bror kom tilbage fra skolen, blev han overrasket
Yahoo;Jeg er her!
Yes;Ja
