ACheeseForAMouse;Je n'ai aucun doute que mon frère a laissé ce fromage ici, toujours comme ça!
AKeyToTheCabinet;Clé de la chambre du père
AKitchenKey;Clé de la cuisine
APartOfAHammer;Le bâton ou le manche de marteau?
APartOfScissors;La moitié des ciseaux
AStickForTheRoof;Cela m'aidera à entrer dans le grenier
Bathroom;Bien sûr, je vais laver dans cette baignoire le soir
BatteriesForTheController;Quelque chose d'utile ici
Continue;Continuer
DontRemind;Jamais
Exit;Sortie
Figure;C'est mon bloc d'unité!
GottaCrashThisIce;Obtenez cette clé hors de la glace
GottaDisassembleIt;Jouons et démontez-le!
GottaTightenTheCrane;Dois-je les faire pivoter? Je pense que oui!
Hmm;Hmm ...
ICanExtinguish;C'est un seau d'eau, utile!
ICountSoBad;C'est intéressant...
IGottaPutOut;Je dois éteindre ce feu
IHaveToTurnItOn;Je veux regarder un dessin animé
InventoryIsFull;Pas de place!
ISeeTheToilet;Il y a deux portes, je devrais m'en souvenir
ItCanBeOpen;Il peut être ouvert
ItIsEmpty;Pas intéressant…
ItIsSoHighInHere;Voici tellement haut, wow
ItIsWarmInHere;Il fait très chaud ici
Kitchen;Cuisine, c'est ici. Mon endroit préféré!
Loading;Chargement...
LowerFloor;Premier étage
MyBeautifulRoom;Ma belle chambre!
MyBrothersSkate;Le patin de mon frère
MyToy;J'aime ma trieuse de forme!
NeedAKey;Besoin d'une clé du réservoir
No;Non
OK;D'accord
OneMoreBathroom;C'est notre salle de bain d'invité
OneMorePartOfAHammer;Partie métallique du marteau
ParentsBedroom;La chambre de maman et papa
RateUs;Si vous avez aimé le jeu, s'il vous plaît nous évaluer pour 5 étoiles. Je vous remercie!
RewardText;Souhaitez-vous obtenir un indice en regardant une vidéo intéressante?
RewardWaitText;La vidéo n'est pas encore chargée, essayez plus tard et vérifiez votre connexion Internet
SomethingTasty;Quelque chose de savoureux!
TheBucketIsEmpty;Le seau est vide
TheClockShowsTheWrongTime;Cette horloge indique le mauvais moment
TheDollWasCollected;Ma poupée a été assemblée!
TheDoorsMayBeOpen;Je devrais ouvrir cette porte!
ThereIsALot;Il y a beaucoup de choses ...
ThereIsNothingHere;Brossez-vous les dents deux fois par jour!
ThereIsSomethingHidden;"Beaux oreillers;)"
ThereIsSomethingInTheTank;Des valves intéressantes là-dedans
TheseFigures;Mettons des blocs unitaires dedans!
ThisMouse;Ma souris bien-aimée m'aidera
TiltThePhone;Incliner le téléphone
WhatIsInHere;Qu'est-ce que c'est?
WhenMyBrother;Quand mon frère est revenu de l'école, il a été surpris
Yahoo;Je suis sorti!
Yes;Oui
