ACheeseForAMouse;Ich habe keinen Zweifel, dass mein Bruder diesen Käse hier gelassen hat, immer so!
AKeyToTheCabinet;Schlüssel aus dem Zimmer des Vaters
AKitchenKey;Schlüssel aus der Küche
APartOfAHammer;Der Stock oder der Hammergriff?
APartOfScissors;Die Hälfte der Schere
AStickForTheRoof;Es wird mir helfen, auf den Dachboden zu gelangen
Bathroom;Sicher, ich werde mich abends in dieser Wanne waschen
BatteriesForTheController;Etwas Nützliches hier
Continue;Fortfahren
DontRemind;Noch nie
Exit;Beenden
Figure;Das ist mein Einheitsblock!
GottaCrashThisIce;Holen Sie diesen Schlüssel aus dem Eis
GottaDisassembleIt;Lass uns spielen und es auseinanderbauen!
GottaTightenTheCrane;Sollte ich sie drehen? Ich denke ja!
Hmm;Hmm ...
ICanExtinguish;Dies ist ein Eimer mit Wasser, nützlich!
ICountSoBad;Das ist interessant ...
IGottaPutOut;Ich sollte dieses Feuer löschen
IHaveToTurnItOn;Ich möchte Cartoon sehen
InventoryIsFull;Inventar ist voll!
ISeeTheToilet;Es gibt zwei Türen, ich sollte mich daran erinnern
ItCanBeOpen;Es kann geöffnet werden
ItIsEmpty;Nicht interessant ...
ItIsSoHighInHere;Hier ist so hoch, wow
ItIsWarmInHere;Es ist sehr warm hier
Kitchen;Küche, hier ist es. Mein Lieblingsplatz!
Loading;Wird geladen ...
LowerFloor;Erdgeschoss
MyBeautifulRoom;Mein schönes Zimmer!
MyBrothersSkate;Skateboard meines Bruders
MyToy;Ich liebe meinen Formsortierer!
NeedAKey;Brauche einen Schlüssel aus dem Reservoir
No;Nein
OK;Ok
OneMoreBathroom;Das ist unser Gästebad
OneMorePartOfAHammer;Metallteil des Hammers
ParentsBedroom;Mama und Papas Schlafzimmer
RateUs;Wenn Ihnen das Spiel gefallen hat, bewerten Sie uns bitte für 5 Sterne. Danke!
RewardText;Möchtest du einen Tipp bekommen, indem du dir ein interessantes Video anschaust?
RewardWaitText;Das Video ist noch nicht geladen, versuche es später und überprüfe deine Internetverbindung
SomethingTasty;Etwas leckeres!
TheBucketIsEmpty;Der Eimer ist leer
TheClockShowsTheWrongTime;Diese Uhr zeigt die falsche Zeit an
TheDollWasCollected;Meine Puppe wurde gesammelt!
TheDoorsMayBeOpen;Ich sollte diese Tür öffnen!
ThereIsALot;Es gibt viele Sachen ...
ThereIsNothingHere;Putzen Sie Ihre Zähne zweimal am Tag!
ThereIsSomethingHidden;"Schöne Kissen;)"
ThereIsSomethingInTheTank;Interessante Ventile da drinnen
TheseFigures;Lassen Sie uns Einheitenblöcke einfügen!
ThisMouse;Meine geliebte Maus wird mir helfen
TiltThePhone;Kippen Sie das Telefon
WhatIsInHere;Was ist das?
WhenMyBrother;Als mein Bruder aus der Schule kam, war er überrascht
Yahoo;Oh ja, ich bin raus!
Yes;Ja
