ACheeseForAMouse;Ei ole epäilystäkään siitä, että veljeni jätti tämän juuston täällä, aina sellaisenaan!
AKeyToTheCabinet;Avain isän huoneesta
AKitchenKey;Keittiön avain
APartOfAHammer;Hammer kahva!
APartOfScissors;Puolet saksista
AStickForTheRoof;Sen pitäisi auttaa minua
Bathroom;Toki rakastan pestä itseäni!
BatteriesForTheController;Jotain hyödyllistä tässä
Continue;Jatkaa
DontRemind;Ei koskaan, ikinä
Exit;poistuminen
Figure;
GottaCrashThisIce;Ota tämä avain pois jääpalasta
GottaDisassembleIt;Toistamme ja pura se!
GottaTightenTheCrane;Pitäisikö minun kiertää niitä? Mielestäni kyllä!
Hmm;Hmm ...
ICanExtinguish;
ICountSoBad;Tämäpä kiintoisaa...
IGottaPutOut;Minun täytyy laittaa tämä tuli
IHaveToTurnItOn;Haluan katsoa sarjakuvaa
InventoryIsFull;Ei paikkaa!
ISeeTheToilet;Siinä on kaksi ovea, muistan sen
ItCanBeOpen;Se voidaan avata
ItIsEmpty;Ei kiinnostava…
ItIsSoHighInHere;Tässä on niin korkea, wow
ItIsWarmInHere;Se on hyvin lämmin täällä
Kitchen;Keittiö, tässä se on. Lempipaikkani!
Loading;Ladataan...
LowerFloor;Ensimmäinen kerros
MyBeautifulRoom;Kaunis huone!
MyBrothersSkate;
MyToy;
NeedAKey;Minun täytyy avata tämä outo asia
No;Ei
OK;OK
OneMoreBathroom;Nice kylpyhuone vieraille
OneMorePartOfAHammer;Metallin osa vasarasta
ParentsBedroom;Äiti ja isän makuuhuone
RateUs;Jos pidit pelin, arvostathan meille 5 tähteä. Kiitos!
RewardText;Haluatko saada vihjeen katsomalla mielenkiintoista videota?
RewardWaitText;Videota ei ole vielä ladattu, yritä myöhemmin ja tarkista internet-yhteys
SomethingTasty;Jotain maukasta!
TheBucketIsEmpty;Kauha on tyhjä
TheClockShowsTheWrongTime;Tämä kello näyttää väärän ajan
TheDollWasCollected;Nukkeeni koottiin!
TheDoorsMayBeOpen;Minun pitäisi avata tämä ovi!
ThereIsALot;On paljon tavaraa ...
ThereIsNothingHere;Puhdista hampaasi kahdesti päivässä!
ThereIsSomethingHidden;"Nice tyynyt;)"
ThereIsSomethingInTheTank;Mielenkiintoisia venttiilejä siellä
TheseFigures;Pelaamme siinä!
ThisMouse;Rakastettu hiiri auttaa minua
TiltThePhone;Kallista puhelinta
WhatIsInHere;Mikä se on?
WhenMyBrother;Kun veljeni palasi koulusta, hän oli yllättynyt
Yahoo;Olen täällä!
Yes;Joo
