ACheeseForAMouse;Ik twijfel er niet aan dat mijn broer deze kaas hier heeft achtergelaten, altijd zo!
AKeyToTheCabinet;Sleutel van vader's kamer
AKitchenKey;Keukentoets
APartOfAHammer;Hamer handvat!
APartOfScissors;De helft van de schaar
AStickForTheRoof;Het zou mij moeten helpen
Bathroom;Natuurlijk hou ik ervan mezelf te wassen!
BatteriesForTheController;Hier iets nuttigs
Continue;Doorgaan
DontRemind;Nooit
Exit;Uitgang
Figure;
GottaCrashThisIce;Haal deze sleutel uit het ijsblokje
GottaDisassembleIt;Laten we spelen en demonteren!
GottaTightenTheCrane;Moet ik ze roteren? Ik denk van wel!
Hmm;Hmm ...
ICanExtinguish;Dit is een emmer water, handig!
ICountSoBad;Dat is interessant...
IGottaPutOut;Ik moet dit vuur doven
IHaveToTurnItOn;Ik wil naar een cartoon kijken
InventoryIsFull;Geen plek!
ISeeTheToilet;Er zijn twee deuren, ik moet het onthouden
ItCanBeOpen;Het kan worden geopend
ItIsEmpty;Niet interessant…
ItIsSoHighInHere;Hier is zo hoog, wauw
ItIsWarmInHere;Het is hier erg warm
Kitchen;Keuken, hier is het. Mijn favoriete plaats!
Loading;Bezig met laden...
LowerFloor;Eerste verdieping
MyBeautifulRoom;Mijn mooie kamer!
MyBrothersSkate;
MyToy;
NeedAKey;Ik moet dit rare ding openen
No;Nee
OK;OK
OneMoreBathroom;Mooie badkamer voor gasten
OneMorePartOfAHammer;Metalen deel van de hamer
ParentsBedroom;De slaapkamer van mama en papa
RateUs;Als je de game leuk vond, prijs ons alsjeblieft voor 5 sterren. Dank je!
RewardText;Wil je een idee krijgen door interessante video's te bekijken?
RewardWaitText;Video is nog niet geladen, probeer later en controleer je internetverbinding
SomethingTasty;Iets lekkers!
TheBucketIsEmpty;De emmer is leeg
TheClockShowsTheWrongTime;Deze klok geeft de verkeerde tijd aan
TheDollWasCollected;Mijn pop was verzameld!
TheDoorsMayBeOpen;Ik zou deze deur moeten openen!
ThereIsALot;Er zijn veel dingen ...
ThereIsNothingHere;Maak je tanden twee keer per dag schoon!
ThereIsSomethingHidden;"Leuke kussens;)"
ThereIsSomethingInTheTank;Interessante kleppen daarboven
TheseFigures;Laten we erin spelen!
ThisMouse;Mijn geliefde muis zal me helpen
TiltThePhone;Kantel de telefoon
WhatIsInHere;Wat is dat?
WhenMyBrother;Toen mijn broer terugkwam van school, was hij verrast
Yahoo;Ik ben hier!
Yes;Ja
