ACheeseForAMouse;Tôi không nghi ngờ gì về việc anh tôi để pho mát ở đây, luôn luôn như thế!
AKeyToTheCabinet;Chìa khóa từ phòng của cha
AKitchenKey;Key từ bếp
APartOfAHammer;Tay cầm búa?
APartOfScissors;Một nửa của kéo
AStickForTheRoof;Nó sẽ giúp tôi
Bathroom;Chắc chắn, đó là bồn tắm của tôi
BatteriesForTheController;Một cái gì đó hữu ích ở đây
Continue;Để tiếp tục
DontRemind;Chưa bao giờ
Exit;Lối thoát
Figure;Đó là đơn vị khối của tôi!
GottaCrashThisIce;Lấy chìa khóa này ra khỏi khối đá
GottaDisassembleIt;Hãy chơi và tháo rời!
GottaTightenTheCrane;Tôi có nên xoay chúng không? Tôi nghĩ là có!
Hmm;Hmm ...
ICanExtinguish;Đây là một xô nước, hữu ích!
ICountSoBad;Nó thật thú vị...
IGottaPutOut;Tôi phải đưa ra ngọn lửa này
IHaveToTurnItOn;Tôi muốn xem phim hoạt hình
InventoryIsFull;Không có chỗ!
ISeeTheToilet;Có hai cửa ra vào, tôi nên nhớ nó
ItCanBeOpen;Nó có thể được mở ra
ItIsEmpty;Không thú vị…
ItIsSoHighInHere;Đây là quá cao, wow
ItIsWarmInHere;Rất ấm ở đây
Kitchen;Nhà bếp, đây là. Nơi yêu thích của tôi!
Loading;Tải...
LowerFloor;Tầng một
MyBeautifulRoom;Phòng đẹp của tôi!
MyBrothersSkate;Đây là skate của chúng tôi
MyToy;Tôi thích đồ chơi sorter hình dạng của tôi!
NeedAKey;Tôi cần phải mở ra điều kỳ lạ này
No;Không
OK;được
OneMoreBathroom;Đó là phòng khách của chúng tôi
OneMorePartOfAHammer;Phần kim loại của búa
ParentsBedroom;Phòng ngủ của mẹ và cha
RateUs;Nếu bạn thích trò chơi, hãy đánh giá chúng tôi cho 5 sao. Cảm ơn bạn!
RewardText;Bạn có muốn nhận được một gợi ý bằng cách xem video thú vị?
RewardWaitText;Video chưa được tải, hãy thử sau và kiểm tra kết nối internet của bạn
SomethingTasty;Vài thứ ngon!
TheBucketIsEmpty;Xô trống
TheClockShowsTheWrongTime;Đồng hồ này cho thấy thời gian sai
TheDollWasCollected;Búp bê của tôi đã được lắp ráp!
TheDoorsMayBeOpen;Tôi nên mở cánh cửa này!
ThereIsALot;Có rất nhiều thứ ...
ThereIsNothingHere;Rửa sạch răng hai lần một ngày!
ThereIsSomethingHidden;"Gối đẹp;)"
ThereIsSomethingInTheTank;Van thú vị trong đó
TheseFigures;Hãy để nó vào!
ThisMouse;Con chuột yêu của tôi sẽ giúp tôi
TiltThePhone;Nghiêng điện thoại
WhatIsInHere;Cái gì kia?
WhenMyBrother;Khi em trai tôi trở về từ trường, anh ấy đã rất ngạc nhiên
Yahoo;Yupee, tôi ở đây!
Yes;Vâng
